CLUTCH_NUMBER	MALE	FEMALE	REGION	POPULATION	DATE_OF_HATCH	DATE_CTMAX	AGE_DAYS	TRAY_COL	DEV_TEMP	TANK	REP	EXP_TANK	TRAY_ORD	LENGTH	MASS	RAMP_START_TIME	LOE_TIME	LOE_mean_JMD	LOE_TEMP_SENSOR	LOE_TEMP_HOBO	TEMP_DIFF	SURVIVAL_TIME	HOBO_OFFSET	LOE_TEMP_HOBO_ACTUAL	FIL_TEMP_DIFF	LOE_MEAN_EAS	EXPERIMENT	NOTES		
110	CPRE453	CPRE459	core	Pretty Patches	7/03/2023	13/07/2023	128	white	30	329	1	2	3	33.72	1.5535	11:50:15 AM	5:49:00 PM			37.042		5:58:45	0.000	37.042		37.042	CTmax			
110	CPRE453	CPRE459	core	Pretty Patches	7/03/2023	13/07/2023	128	red	31.5	360	1	2	1	28.47	0.9471	11:50:15 AM	5:49:00 PM			37.042		5:58:45	0.000	37.042		37.042	CTmax			
110	CPRE453	CPRE459	core	Pretty Patches	7/03/2023	13/07/2023	128		31.5	325	2			32.20	1.3175	11:45:00 AM	5:56:00 PM					6:11:00				37.050	Resp			
110	CPRE453	CPRE459	core	Pretty Patches	7/03/2023	13/07/2023	128		31.5	325	2			32.07	1.2525	11:45:00 AM	5:56:00 PM					6:11:00				37.060	Resp			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	12/07/2023	113	blue	31.5	326	2	1	3	26.94	0.8750	12:13:52 PM	6:23:00 PM			37.178		6:09:08	0.117	37.061		37.061	CTmax			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	13/07/2023	130	blue	28.5	247	1	6	1	36.99	2.1600	11:50:15 AM	5:58:00 PM		37.2	37.042	-0.16	6:07:45	0.055	36.987	-0.213	37.094	CTmax			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	13/07/2023	130	blue	28.5	247	1	6	5	34.74	1.6497	11:50:15 AM	5:56:00 PM			37.150		6:05:45	0.055	37.095		37.095	CTmax			
110	CPRE453	CPRE459	core	Pretty Patches	7/03/2023	13/07/2023	128	white	30	329	1	2	5	28.80	0.9188	11:50:15 AM	5:53:00 PM			37.096		6:02:45	0.000	37.096		37.096	CTmax			
110	CPRE453	CPRE459	core	Pretty Patches	7/03/2023	13/07/2023	128	white	30	329	1	2	4	33.11	1.4644	11:50:15 AM	5:53:00 PM			37.096		6:02:45	0.000	37.096		37.096	CTmax			
110	CPRE453	CPRE459	core	Pretty Patches	7/03/2023	13/07/2023	128	red	31.5	360	1	2	5	25.16	0.6192	11:50:15 AM	5:53:00 PM			37.096		6:02:45	0.000	37.096		37.096	CTmax			
