Species,BP,ID,Tank,Rep_tank,Treatment,Rate,Time_load,Time_start,Time_end,Acc_time,Acc_time_min,Trial_time,Trial_time_h,CTmax,Date,Age,M1,M2,M3,SL,BW,logBW,BW_centred_all,Mean_BW,CI,Protein,CS,CS_date,LDH,LDH_date,Rate_min
A.poly,AP2,AP2_21_1.0_01,28A,A,28,1,6:41:00,7:15:00,15:15:00,0:34:00,34,8:00:00,8,36.42,11-Jan-18,21,14.829,14.734,14.658,14.74,17.5,1.243038049,8.848322286,,0.005464439,7.048452671,9.01E-02,9-Apr-18,16.995287,9-Mar-18,0.016666667
A.poly,AP2,AP2_21_1.0_02,28B,B,28,1,6:53:00,7:15:00,15:15:00,0:22:00,22,8:00:00,8,36.42,11-Jan-18,21,13.739,13.836,13.694,13.76,16.48,1.216957207,7.828322286,,0.006325603,12.72665775,0.141076,29-Mar-18,9.337277,29-Mar-18,0.016666667
A.poly,AP2,AP2_21_1.0_04,28B,B,28,1,6:55:00,7:15:00,15:15:00,0:20:00,20,8:00:00,8,36.28,11-Jan-18,21,15.533,15.544,15.642,15.57,21.28,1.327971624,12.62832229,,0.00563775,20.03024313,8.13E-02,29-Mar-18,5.598739,29-Mar-18,0.016666667
A.poly,AP2,AP2_21_1.0_06,28A,A,28,1,6:40:00,7:15:00,15:00:00,0:35:00,35,7:45:00,7.75,36.2,11-Jan-18,21,15.693,15.59,15.591,15.62,18.81,1.274388796,10.15832229,,0.004935665,11.41260027,0.112587,10-Apr-18,12.447748,10-Apr-18,0.016666667
A.poly,AP2,AP2_21_1.0_09,28B,B,28,1,6:54:00,7:15:00,15:15:00,0:21:00,21,8:00:00,8,36.39,11-Jan-18,21,13.358,13.346,13.385,13.36,16.16,1.208441356,7.508322286,,0.006776758,8.501950021,0.376482,11-Apr-18,17.681822,11-Apr-18,0.016666667
A.poly,AP2,AP2_21_1.0_10,28A,A,28,1,6:42:00,7:15:00,15:15:00,0:33:00,33,8:00:00,8,36.34,11-Jan-18,21,15.84,15.817,15.806,15.82,22.57,1.353531559,13.91832229,,0.005700489,11.66,0.245,11-Apr-18,12.803408,11-Apr-18,0.016666667
A.poly,AP3,AP3_07_1.0_01,28A,A,28,1,7:25:00,8:00:00,16:15:00,0:35:00,35,8:15:00,8.25,36.37,4-Feb-18,7,8.17,8.099,8.042,8.1,3.85,0.58546073,-4.801677714,,0.007244454,3.446121709,0.37376,9-May-18,9.867021,9-May-18,0.016666667
A.poly,AP3,AP3_07_1.0_03,28A,A,28,1,7:24:00,8:00:00,16:30:00,0:36:00,36,8:30:00,8.5,36.8,4-Feb-18,7,8.641,8.643,8.635,8.64,3,0.477121255,-5.651677714,,0.004651361,2.243238877,0.478301,3-May-18,18.514532,3-May-18,0.016666667
A.poly,AP3,AP3_07_1.0_08,28B,B,28,1,7:48:00,8:00:00,16:30:00,0:12:00,12,8:30:00,8.5,36.56,4-Feb-18,7,8.645,8.614,8.632,8.63,3.82,0.582063363,-4.831677714,,0.005943345,0.845058273,1.770868,3-May-18,39.99607,3-May-18,0.016666667
A.poly,AP3,AP3_07_1.0_09,28B,B,28,1,7:32:00,8:00:00,16:30:00,0:28:00,28,8:30:00,8.5,36.57,4-Feb-18,7,8.507,8.533,8.52,8.52,3.59,0.555094449,-5.061677714,,0.005804645,1.376970388,0.858655,9-May-18,29.000152,9-May-18,0.016666667
A.poly,AP3,AP3_07_1.0_10,28A,A,28,1,7:23:00,8:00:00,16:30:00,0:37:00,37,8:30:00,8.5,36.51,4-Feb-18,7,8.568,8.545,8.698,8.6,3.57,0.552668216,-5.081677714,,0.005612713,2.63087084,0.422793,9-May-18,13.254446,9-May-18,0.016666667
A.poly,AP3,AP3_07_1.0_12,28B,B,28,1,7:49:00,8:00:00,16:15:00,0:11:00,11,8:15:00,8.25,36.35,4-Feb-18,7,8.174,8.191,8.188,8.18,3.36,0.526339277,-5.291677714,,0.006138742,3.070270251,0.242849,9-May-18,11.660792,9-May-18,0.016666667
A.poly,AP3,AP3_14_1.0_01,28B,B,28,1,7:13:00,7:30:00,15:30:00,0:17:00,17,8:00:00,8,36.42,11-Feb-18,14,11.064,11.078,11.135,11.09,8.42,0.925312091,-0.231677714,,0.006173301,6.330904859,0.290198,9-May-18,8.180452,9-May-18,0.016666667
A.poly,AP3,AP3_14_1.0_04,28B,B,28,1,7:16:00,7:30:00,15:15:00,0:14:00,14,7:45:00,7.75,36.1,11-Feb-18,14,11.243,11.273,11.232,11.25,7.93,0.899273187,-0.721677714,,0.005569492,3.565175595,0.54086,2-May-18,16.582279,2-May-18,0.016666667
