Species,BP,ID,Tank,Rep_tank,Treatment,Rate,Time_load,Time_start,Time_end,Acc_time,Acc_time_min,Trial_time,Trial_time_h,CTmax
A.poly,AP2,AP2_21_5.0_02,28A,A,28,5,6:43:00,7:15:00,9:15:00,0:32:00,32,2:00:00,2,38.09
A.poly,AP2,AP2_21_5.0_04,28B,B,28,5,6:59:00,7:15:00,9:15:00,0:16:00,16,2:00:00,2,37.82
A.poly,AP2,AP2_21_5.0_05,28A,A,28,5,6:43:00,7:15:00,9:15:00,0:32:00,32,2:00:00,2,38.19
A.poly,AP2,AP2_21_5.0_07,28B,B,28,5,6:56:00,7:15:00,9:15:00,0:19:00,19,2:00:00,2,38.14
A.poly,AP2,AP2_21_5.0_10,28A,A,28,5,6:44:00,7:15:00,9:15:00,0:31:00,31,2:00:00,2,38.16
A.poly,AP2,AP2_21_5.0_12,28B,B,28,5,6:57:00,7:15:00,9:15:00,0:18:00,18,2:00:00,2,38.25
A.poly,AP3,AP3_07_5.0_04,28B,B,28,5,7:53:00,8:00:00,10:00:00,0:07:00,7,2:00:00,2,38.19
A.poly,AP3,AP3_07_5.0_07,28A,A,28,5,7:28:00,8:00:00,10:00:00,0:32:00,32,2:00:00,2,38.37
A.poly,AP3,AP3_07_5.0_09,28A,A,28,5,7:29:00,8:00:00,10:00:00,0:31:00,31,2:00:00,2,38.61
A.poly,AP3,AP3_07_5.0_10,28B,B,28,5,5:57:00,8:00:00,10:00:00,2:03:00,123,2:00:00,2,37.62
A.poly,AP3,AP3_07_5.0_11,28B,B,28,5,7:55:00,8:00:00,10:00:00,0:05:00,5,2:00:00,2,38.45
A.poly,AP3,AP3_07_5.0_12,28A,A,28,5,7:30:00,8:00:00,10:00:00,0:30:00,30,2:00:00,2,38.5
A.poly,AP3,AP3_14_5.0_03,28A,A,28,5,7:00:00,7:30:00,9:30:00,0:30:00,30,2:00:00,2,37.86
A.poly,AP3,AP3_14_5.0_05,28A,A,28,5,6:58:00,7:30:00,9:30:00,0:32:00,32,2:00:00,2,38.08
A.poly,AP3,AP3_14_5.0_07,28B,B,28,5,7:19:00,7:30:00,9:30:00,0:11:00,11,2:00:00,2,38.13
A.poly,AP3,AP3_14_5.0_08,28B,B,28,5,7:18:00,7:30:00,9:30:00,0:12:00,12,2:00:00,2,38.06
A.poly,AP3,AP3_14_5.0_09,28B,B,28,5,7:20:00,7:30:00,9:30:00,0:10:00,10,2:00:00,2,38.44
A.poly,AP3,AP3_14_5.0_12,28A,A,28,5,6:58:00,7:30:00,9:30:00,0:32:00,32,2:00:00,2,38.39
A.poly,AP3,AP3_21_5.0_04,28A,A,28,5,6:53:00,7:15:00,9:15:00,0:22:00,22,2:00:00,2,38.09
A.poly,AP3,AP3_21_5.0_06,28B,B,28,5,7:05:00,7:15:00,9:15:00,0:10:00,10,2:00:00,2,38.11
A.poly,AP3,AP3_21_5.0_07,28B,B,28,5,7:05:00,7:15:00,9:15:00,0:10:00,10,2:00:00,2,38.1
A.poly,AP3,AP3_21_5.0_08,28A,A,28,5,6:53:00,7:15:00,9:15:00,0:22:00,22,2:00:00,2,38.28
A.poly,AP3,AP3_21_5.0_10,28B,B,28,5,7:04:00,7:15:00,9:15:00,0:11:00,11,2:00:00,2,38.25
A.poly,AP3,AP3_21_5.0_11,28A,A,28,5,6:52:00,7:15:00,9:15:00,0:23:00,23,2:00:00,2,38.19
A.poly,AP4,AP4_07_5.0_01,28A,A,28,5,7:11:00,8:00:00,10:00:00,0:49:00,49,2:00:00,2,38.37
A.poly,AP4,AP4_07_5.0_02,28A,A,28,5,7:15:00,8:00:00,10:00:00,0:45:00,45,2:00:00,2,38.31
A.poly,AP4,AP4_07_5.0_03,28A,A,28,5,7:13:00,8:00:00,10:00:00,0:47:00,47,2:00:00,2,38.41
A.poly,AP4,AP4_07_5.0_06,28B,B,28,5,7:38:00,8:00:00,10:00:00,0:22:00,22,2:00:00,2,38.4
A.poly,AP4,AP4_07_5.0_07,28B,B,28,5,7:39:00,8:00:00,10:00:00,0:21:00,21,2:00:00,2,38.25
A.poly,AP4,AP4_07_5.0_11,28B,B,28,5,7:40:00,8:00:00,10:00:00,0:20:00,20,2:00:00,2,38.53
A.poly,AP4,AP4_14_5.0_02,28A,A,28,5,7:16:00,7:45:00,9:45:00,0:29:00,29,2:00:00,2,38.04
A.poly,AP4,AP4_14_5.0_04,28B,B,28,5,7:29:00,7:45:00,9:45:00,0:16:00,16,2:00:00,2,38.21
A.poly,AP4,AP4_14_5.0_05,28A,A,28,5,7:14:00,7:45:00,9:45:00,0:31:00,31,2:00:00,2,38.19
A.poly,AP4,AP4_14_5.0_06,28B,B,28,5,7:30:00,7:45:00,9:45:00,0:15:00,15,2:00:00,2,38.2
A.poly,AP4,AP4_14_5.0_08,28B,B,28,5,7:30:00,7:45:00,9:45:00,0:15:00,15,2:00:00,2,38.47
A.poly,AP4,AP4_14_5.0_12,28A,A,28,5,7:19:00,7:45:00,9:45:00,0:26:00,26,2:00:00,2,38.54
A.poly,AP4,AP4_21_5.0_02,28A,A,28,5,7:13:00,7:45:00,9:45:00,0:32:00,32,2:00:00,2,37.89
A.poly,AP4,AP4_21_5.0_04,28A,A,28,5,7:08:00,7:45:00,9:45:00,0:37:00,37,2:00:00,2,38
A.poly,AP4,AP4_21_5.0_07,28B,B,28,5,7:27:00,7:45:00,9:45:00,0:18:00,18,2:00:00,2,38.1
A.poly,AP4,AP4_21_5.0_08,28A,A,28,5,7:07:00,7:45:00,9:45:00,0:38:00,38,2:00:00,2,38.16
A.poly,AP4,AP4_21_5.0_10,28B,B,28,5,7:28:00,7:45:00,9:45:00,0:17:00,17,2:00:00,2,38.28
A.poly,AP4,AP4_21_5.0_12,28B,B,28,5,7:29:00,7:45:00,9:45:00,0:16:00,16,2:00:00,2,38.54
