"group","ramprate","dCTmax"
"core_30",0.1666667,36.912
"core_30",0.1666667,36.93
"core_30",0.1666667,36.936
"core_30",0.1666667,36.952
"core_30",0.1666667,36.952
"core_30",0.1666667,36.953
"core_30",0.1666667,36.953
"core_30",0.1666667,36.96
"core_28.5",0.1666667,36.964
"core_30",0.1666667,36.964
"core_30",0.1666667,36.979
"core_28.5",0.1666667,36.98
"core_31.5",0.1666667,36.98
"core_28.5",0.1666667,36.99
"core_31.5",0.1666667,36.99
"core_31.5",0.1666667,37
"core_30",0.1666667,37.015
"core_31.5",0.1666667,37.02
"core_28.5",0.1666667,37.032
"core_28.5",0.1666667,37.032
"core_28.5",0.1666667,37.034
"core_30",0.1666667,37.034
"core_30",0.1666667,37.034
"core_31.5",0.1666667,37.034
"core_30",0.1666667,37.042
"core_31.5",0.1666667,37.042
"core_31.5",0.1666667,37.05
"core_31.5",0.1666667,37.06
"core_31.5",0.1666667,37.061
"core_28.5",0.1666667,37.094
"core_28.5",0.1666667,37.095
"core_30",0.1666667,37.096
"core_30",0.1666667,37.096
"core_31.5",0.1666667,37.096
"core_31.5",0.1666667,37.116
"core_30",0.1666667,37.12
"core_30",0.1666667,37.13
"core_28.5",0.1666667,37.144
"core_31.5",0.1666667,37.144
"core_30",0.1666667,37.145
"core_31.5",0.1666667,37.146
"core_31.5",0.1666667,37.146
"core_31.5",0.1666667,37.146
"core_28.5",0.1666667,37.148
"core_31.5",0.1666667,37.148
"core_31.5",0.1666667,37.148
"core_31.5",0.1666667,37.149
"core_31.5",0.1666667,37.151
"core_28.5",0.1666667,37.159
"core_30",0.1666667,37.159
"core_31.5",0.1666667,37.159
"core_31.5",0.1666667,37.159
"core_31.5",0.1666667,37.173
"core_31.5",0.1666667,37.178
"core_28.5",0.1666667,37.186
"core_31.5",0.1666667,37.186
"core_31.5",0.1666667,37.186
"core_31.5",0.1666667,37.2
"core_31.5",0.1666667,37.204
"core_31.5",0.1666667,37.204
"core_30",0.1666667,37.228
"core_30",0.1666667,37.231
"core_30",0.1666667,37.231
"core_31.5",0.1666667,37.281
"core_30",0.1666667,37.305
"core_30",0.1666667,37.305
"core_30",0.1666667,37.305
"core_31.5",0.1666667,37.307
"core_31.5",0.1666667,37.307
"core_31.5",0.1666667,37.372
"core_28.5",0.1666667,37.382
"core_31.5",0.1666667,37.396
"core_31.5",0.1666667,37.408
"core_28.5",0.1666667,36.9
"core_28.5",0.1666667,36.98
"core_28.5",0.1666667,36.98
"core_28.5",0.1666667,36.98
"core_28.5",0.1666667,36.98
"core_28.5",0.1666667,36.983
"core_28.5",0.1666667,36.983
"core_28.5",0.1666667,36.983
"core_30",0.1666667,36.983
"core_28.5",0.1666667,37.01
"core_30",0.1666667,37.01
"core_28.5",0.1666667,37.049
"core_31.5",0.1666667,37.1
"core_30",0.1666667,37.122
"core_30",0.1666667,37.122
"core_30",0.1666667,37.122
"core_31.5",0.1666667,37.122
"core_28.5",0.1666667,37.2
"core_31.5",0.1666667,37.2
"core_31.5",0.1666667,37.22
"core_31.5",0.1666667,37.226
"core_31.5",0.1666667,37.226
"core_30",0.1666667,37.25
"core_30",0.1666667,37.25
"core_31.5",0.1666667,37.29
"core_31.5",0.1666667,37.29
"core_31.5",0.1666667,37.29
"core_31.5",0.1666667,37.347
"core_31.5",0.1666667,37.361
"core_31.5",0.1666667,37.361
"core_28.5",0.1666667,36.575
"core_28.5",0.1666667,36.616
"core_28.5",0.1666667,36.743
"core_28.5",0.1666667,36.751
"core_28.5",0.1666667,36.751
"core_31.5",0.1666667,36.751
"core_28.5",0.1666667,36.765
"core_28.5",0.1666667,36.849
"core_28.5",0.1666667,36.849
"core_30",0.1666667,36.85
"core_28.5",0.1666667,36.856
"core_28.5",0.1666667,36.857
"core_30",0.1666667,36.91
"core_30",0.1666667,36.947
"core_30",0.1666667,36.947
"core_30",0.1666667,36.961
"core_30",0.1666667,37.007
"core_30",0.1666667,37.007
"core_30",0.1666667,37.007
"core_28.5",0.1666667,37.02
"core_28.5",0.1666667,37.02
"core_30",0.1666667,37.024
"core_30",0.1666667,37.024
"core_31.5",0.1666667,37.09
"core_31.5",0.1666667,37.143
"core_31.5",0.1666667,37.16
"core_31.5",0.1666667,37.186
"core_31.5",0.1666667,37.2
"core_31.5",0.1666667,37.2
"core_31.5",0.1666667,37.2
"core_30",0.1666667,37.211
"core_31.5",0.1666667,37.211
"core_31.5",0.1666667,37.22
"core_30",0.1666667,37.266
"core_31.5",0.1666667,37.298
"core_31.5",0.1666667,37.469
"leading_28.5",0.1666667,36.56
"leading_28.5",0.1666667,36.667
"leading_30",0.1666667,36.68
"leading_30",0.1666667,36.7
"leading_31.5",0.1666667,36.728
"leading_28.5",0.1666667,36.735
"leading_28.5",0.1666667,36.76
"leading_28.5",0.1666667,36.812
"leading_28.5",0.1666667,36.812
"leading_28.5",0.1666667,36.812
"leading_30",0.1666667,36.83
"leading_31.5",0.1666667,36.83
"leading_31.5",0.1666667,36.83
"leading_28.5",0.1666667,36.836
"leading_28.5",0.1666667,36.836
"leading_30",0.1666667,36.836
"leading_30",0.1666667,36.836
"leading_28.5",0.1666667,36.837
"leading_28.5",0.1666667,36.837
"leading_30",0.1666667,36.837
"leading_30",0.1666667,36.88
"leading_30",0.1666667,36.88
"leading_30",0.1666667,36.89
"leading_31.5",0.1666667,36.905
"leading_31.5",0.1666667,36.905
"leading_31.5",0.1666667,36.91
"leading_28.5",0.1666667,36.916
"leading_28.5",0.1666667,36.916
"leading_30",0.1666667,36.916
"leading_28.5",0.1666667,36.919
"leading_30",0.1666667,36.919
"leading_31.5",0.1666667,36.93
"leading_28.5",0.1666667,36.939
"leading_28.5",0.1666667,36.939
"leading_28.5",0.1666667,36.94
"leading_28.5",0.1666667,36.94
"leading_28.5",0.1666667,36.947
"leading_31.5",0.1666667,36.947
"leading_31.5",0.1666667,36.968
"leading_28.5",0.1666667,36.981
"leading_31.5",0.1666667,36.989
"leading_30",0.1666667,36.995
"leading_31.5",0.1666667,37
"leading_28.5",0.1666667,37.001
"leading_30",0.1666667,37.001
"leading_31.5",0.1666667,37.001
"leading_28.5",0.1666667,37.021
"leading_30",0.1666667,37.021
"leading_31.5",0.1666667,37.024
"leading_30",0.1666667,37.044
"leading_31.5",0.1666667,37.05
"leading_30",0.1666667,37.084
"leading_31.5",0.1666667,37.084
"leading_31.5",0.1666667,37.084
"leading_31.5",0.1666667,37.095
"leading_30",0.1666667,37.098
"leading_30",0.1666667,37.13
"leading_30",0.1666667,37.13
"leading_28.5",0.1666667,37.137
"leading_30",0.1666667,37.137
"leading_30",0.1666667,37.137
"leading_30",0.1666667,37.153
"leading_31.5",0.1666667,37.153
"leading_31.5",0.1666667,37.153
"leading_28.5",0.1666667,37.179
"leading_31.5",0.1666667,37.208
"leading_31.5",0.1666667,37.208
"leading_31.5",0.1666667,37.214
"leading_30",0.1666667,37.233
"leading_30",0.1666667,37.233
"leading_31.5",0.1666667,37.242
"leading_31.5",0.1666667,37.283
"leading_31.5",0.1666667,37.3
